date,title,link
2014-01-02,it companies to see cross currency headwinds going ahead david pezarkar,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/stocks/recos/it-companies-to-see-cross-currency-headwinds-going-ahead-david-pezarkar/articleshow/28267229.cms
2014-01-03,indias forex reserves rise to 295 71 billion as on dec 27 reserve bank of india,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/economy/finance/indias-forex-reserves-rise-to-295-71-billion-as-on-dec-27-reserve-bank-of-india/articleshow/28342070.cms
2014-01-09,ed signs mou with dgft for sharing forex realisation data,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/economy/finance/ed-signs-mou-with-dgft-for-sharing-forex-realisation-data/articleshow/28591145.cms
2014-01-12,corporates join bitcoin brigade to lobby for digital currency,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/tech/internet/corporates-join-bitcoin-brigade-to-lobby-for-digital-currency/articleshow/28704424.cms
2014-01-16,mindtree profit falls after forex loss reports strong pipeline,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/stocks/earnings/mindtree-profit-falls-after-forex-loss-reports-strong-pipeline/articleshow/28898641.cms
2014-01-16,rbi tightens provisioning norms for unhedged forex exposure,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/forex/rbi-tightens-provisioning-norms-for-unhedged-forex-exposure/articleshow/28849057.cms
2014-01-16,hcl tech q2 seen flat at rs 1430 crore forex loss pegged at 23 million,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/stocks/earnings/hcl-tech-q2-seen-flat-at-rs-1430-crore-forex-loss-pegged-at-23-million/articleshow/28842741.cms
2014-01-17,forex reserves rise to 293 29 billion as on jan rbi,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/economy/finance/forex-reserves-rise-to-293-29-billion-as-on-jan-rbi/articleshow/28957540.cms
2014-01-17,mindtree q3 profit falls after forex hit sales rise,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/stocks/earnings/mindtree-q3-profit-falls-after-forex-hit-sales-rise/articleshow/28924271.cms
2014-01-23,mastek lower operating costs and lesser forex loss result in margin expansion,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/stocks/earnings/mastek-lower-operating-costs-and-lesser-forex-loss-result-in-margin-expansion/articleshow/29256422.cms
2014-01-23,currency notes issued before 2005 to be withdrawn post march 31 rbi,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/economy/policy/currency-notes-issued-before-2005-to-be-withdrawn-post-march-31-rbi/articleshow/29210580.cms
2014-01-24,rbi asks public to start exchanging pre 2005 currency notes,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/industry/banking/finance/banking/rbi-asks-public-to-start-exchanging-pre-2005-currency-notes/articleshow/29309847.cms
2014-01-25,ex nepalese ministers son arrested for fake currency racket,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/international/world-news/ex-nepalese-ministers-son-arrested-for-fake-currency-racket/articleshow/29367473.cms
2014-01-25,forex reserves fall to 292 08 billion as on january 17 rbi,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/economy/finance/forex-reserves-fall-to-292-08-billion-as-on-january-17-rbi/articleshow/29309639.cms
2014-01-27,rupee63 may hit 65 says expert where the currency is headed,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/forex/rupee63-may-hit-65-says-expert-where-the-currency-is-headed/articleshow/29444124.cms
2014-01-27,cairn india q3 net drops 14 on forex losses,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/stocks/earnings/cairn-india-q3-net-drops-14-on-forex-losses/articleshow/29432581.cms
2014-01-30,rupee best performer among emerging markets on currency stability hopes,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/forex/rupee-best-performer-among-emerging-markets-on-currency-stability-hopes/articleshow/29576222.cms
2014-01-30,nia proves pakistan link six people convicted in fake currency case,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/politics-and-nation/nia-proves-pakistan-link-six-people-convicted-in-fake-currency-case/articleshow/29574960.cms
2014-01-31,rbi to cut swap rates on foreign currency deposits from march 1,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/bonds/rbi-to-cut-swap-rates-on-foreign-currency-deposits-from-march-1/articleshow/29671446.cms
2014-02-05,spotting the real deal how to distinguish between genuine and fake rupee currency,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/forex/spotting-the-real-deal-how-to-distinguish-between-genuine-and-fake-rupee-currency/articleshow/29872965.cms
2014-02-07,indias forex reserves lower at 291 07 bn as of january 31 rbi,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/economy/finance/indias-forex-reserves-lower-at-291-07-bn-as-of-january-31-rbi/articleshow/30001082.cms
2014-02-07,mid caps lose sheen as em currency rout takes a toll,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/stocks/news/mid-caps-lose-sheen-as-em-currency-rout-takes-a-toll/articleshow/29966881.cms
2014-02-08,bitcoin rift sees currency enthusiasts ditching iphones,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/international/business/bitcoin-rift-sees-currency-enthusiasts-ditching-iphones/articleshow/30026737.cms
2014-02-10,essar oil december quarter net profit up 63 pc rs 146 crore forex gain,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/stocks/earnings/essar-oil-december-quarter-net-profit-up-63-pc-rs-146-crore-forex-gain/articleshow/30177842.cms
