date,title,link
2014-01-18,DealBook: HSBC and Citigroup Suspend Currency Traders,http://dealbook.nytimes.com/2014/01/17/hsbc-and-citigroup-suspend-currency-traders/?ref=todayspaper
2014-01-24,"Argentina’s Currency Falls Sharply Against the Dollar, Stirring Inflation Fears",https://www.nytimes.com/2014/01/24/world/americas/argentinas-currency-falls-sharply-against-the-dollar-stirring-inflation-fears.html?ref=todayspaper
2014-01-25,"Argentina’s Currency Falls Sharply Against the Dollar, Stirring Inflation Fears",https://www.nytimes.com/2014/01/24/world/americas/argentinas-currency-falls-sharply-against-the-dollar-stirring-inflation-fears.html?ref=todayspaper
2014-02-05,DealBook: Regulator Compares Currency Investigation to Libor Case,http://dealbook.nytimes.com/2014/02/04/regulator-compares-currency-investigation-to-libor-case/?ref=todayspaper
2014-02-06,DealBook: New York’s Top Financial Regulator Investigates Currency Trading,http://dealbook.nytimes.com/2014/02/05/two-senior-foreign-exchange-executives-to-step-down/?ref=todayspaper
2014-02-08,"Editorial: Currency Wars, Revisited",https://www.nytimes.com/2014/02/08/opinion/currency-wars-revisited.html?ref=todayspaper
2014-03-01,Currency of China Continues to Decline,https://www.nytimes.com/2014/03/01/business/chinese-currency.html?ref=todayspaper
2014-03-02,Economic View: In Search of a Stable Electronic Currency,https://www.nytimes.com/2014/03/02/business/in-search-of-a-stable-electronic-currency.html?ref=todayspaper
2014-03-06,DealBook: Bank of England Suspends Worker as Currency Inquiry Expands,http://dealbook.nytimes.com/2014/03/05/bank-of-england-suspends-employee-amid-currency-manipulation-inquiry/?ref=todayspaper
2014-03-12,DealBook: Bank of England Governor Pledges More Integrity After Currency Inquiry,http://dealbook.nytimes.com/2014/03/11/bank-of-england-governor-pledges-more-integrity-after-currency-inquiry/?ref=todayspaper
2014-03-16,China’s Central Bank Allows Its Currency More Volatility,https://www.nytimes.com/2014/03/16/business/international/chinas-central-bank-raises-the-volatility-of-its-currency.html?ref=todayspaper
2014-03-17,"News Analysis: In China, Shaking Up Currency’s Strength",https://www.nytimes.com/2014/03/17/business/international/chinas-currency-is-no-longer-a-one-way-bet.html?ref=todayspaper
2014-03-25,Venezuela Takes Steps to Ease Curbs on Currency,https://www.nytimes.com/2014/03/25/world/americas/venezuela-takes-steps-to-ease-curbs-on-currency.html?ref=todayspaper
