date,title,link
2016-01-09,Currency Devaluations by Asian Tigers Could Hinder Global Growth,https://www.nytimes.com/2016/01/09/business/dealbook/asia-china-renminbi-currency-devaluation.html?ref=todayspaper
2016-01-12,"The Upshot: John Maynard Keynes: Great Economist, Terrible Currency Trader",https://www.nytimes.com/2016/01/12/upshot/john-maynard-keynes-great-economist-terrible-currency-trader.html?ref=todayspaper
2016-02-14,Chinese Start to Lose Confidence in Their Currency,https://www.nytimes.com/2016/02/14/business/dealbook/chinese-start-to-lose-confidence-in-their-currency.html?ref=todayspaper
2016-02-14,Chinese Start to Lose Confidence in Their Currency,https://www.nytimes.com/2016/02/14/business/dealbook/chinese-start-to-lose-confidence-in-their-currency.html?ref=todayspaper
2016-02-18,Venezuela Devalues Currency and Raises Price of Gasoline,https://www.nytimes.com/2016/02/18/business/iron-ore-giant-begins-tests-at-its-largest-mine.html?ref=todayspaper
2016-02-22,Editorial: Getting Rid of Big Currency Notes Could Help Fight Crime,https://www.nytimes.com/2016/02/22/opinion/getting-rid-of-big-currency-notes-could-help-fight-crime.html?ref=todayspaper
2016-03-16,British Authorities End Criminal Inquiry Into Currency Markets,https://www.nytimes.com/2016/03/16/business/dealbook/british-authorities-end-criminal-inquiry-into-currency-markets.html?ref=todayspaper
2016-03-28,"Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin’s",https://www.nytimes.com/2016/03/28/business/dealbook/ethereum-a-virtual-currency-enables-transactions-that-rival-bitcoins.html?ref=todayspaper
2016-04-22,Letters: Women’s Portraits on Our Currency,https://www.nytimes.com/2016/04/22/opinion/womens-portraits-onour-currency.html?ref=todayspaper
2016-06-18,A Hacking of More Than $50 Million Dashes Hopes in the World of Virtual Currency,https://www.nytimes.com/2016/06/18/business/dealbook/hacker-may-have-removed-more-than-50-million-from-experimental-cybercurrency-project.html?ref=todayspaper
2016-06-18,A Hacking of More Than $50 Million Dashes Hopes in the World of Virtual Currency,https://www.nytimes.com/2016/06/18/business/dealbook/hacker-may-have-removed-more-than-50-million-from-experimental-cybercurrency-project.html?ref=todayspaper
2016-07-21,HSBC Bank Executives Face Charges in $3.5 Billion Currency Case,https://www.nytimes.com/2016/07/21/business/dealbook/hsbc-foreign-exchange-investigation-currency.html?ref=todayspaper
2016-07-21,HSBC Bank Executives Face Charges in $3.5 Billion Currency Case,https://www.nytimes.com/2016/07/21/business/dealbook/hsbc-foreign-exchange-investigation-currency.html?ref=todayspaper
2016-07-29,How a Currency Intended to Unite Europe Wound Up Dividing It,https://www.nytimes.com/2016/07/28/business/international/how-a-currency-intended-to-unite-europe-wound-up-dividing-it.html?ref=todayspaper
2016-10-01,"China Manipulates Its Currency, but Not in the Way Trump Claims",https://www.nytimes.com/2016/10/01/business/dealbook/china-trump-yuan-devaluation.html?ref=todayspaper
2016-11-01,"Zcash, a Harder-to-Trace Virtual Currency, Generates Price Frenzy",https://www.nytimes.com/2016/11/01/business/dealbook/zcash-a-harder-to-trace-virtual-currency-generates-price-frenzy.html?ref=todayspaper
2016-11-04,"Egypt Floats Currency, Appeasing I.M.F. at Risk of Enraging Poor",https://www.nytimes.com/2016/11/04/world/middleeast/egypt-currency-pound-float-imf.html?ref=todayspaper
2016-11-09,Narendra Modi Bans India’s Largest Currency Bills in Bid to Cut Corruption,https://www.nytimes.com/2016/11/09/business/india-bans-largest-currency-bills-for-now-n-bid-to-cut-corruption.html?ref=todayspaper
2016-11-14,Narendra Modi Defends Currency Move as Millions in India Scramble for Cash,https://www.nytimes.com/2016/11/14/world/asia/narendra-modi-defends-currency-move-as-millions-in-india-scramble-for-cash.html?ref=todayspaper
2016-11-18,India Offers Some Relief to Chaos It Created With Currency Ban,https://www.nytimes.com/2016/11/18/world/asia/india-offers-some-relief-to-chaos-it-created-with-currency-ban.html?ref=todayspaper
2016-11-22,‘A Rude Shock’: Indians Describe Life After Narendra Modi’s Currency Ban,https://www.nytimes.com/2016/11/21/world/asia/india-narendra-modi-currency-ban.html?ref=todayspaper
2016-11-30,China Tightens Controls on Overseas Use of Its Currency,https://www.nytimes.com/2016/11/29/business/economy/china-tightens-controls-on-overseas-use-of-its-currency.html?ref=todayspaper
2016-12-07,"Sinosphere: China’s Currency Didn’t Really Drop, Despite Jitters Over Trump",https://www.nytimes.com/2016/12/06/world/asia/china-currency-glitch-exchange-rate.html?ref=todayspaper
2016-12-17,"Venezuela Voids Popular Form of Currency, Setting Off Panic",https://www.nytimes.com/2016/12/16/world/americas/venezuela-void-bolivars-inflation-banks-maduro.html?ref=todayspaper
2016-12-20,Editorial: Venezuela’s Currency Madness,https://www.nytimes.com/2016/12/20/opinion/venezuelas-currency-madness.html?ref=todayspaper
